Timestamp,WindSpeed,HoistPosition,TotalLoad,TrolleyPosition,CycleID,Point
2019.06.29 01:02:14.000,5.139,2.894,15.154,28.611,1.0,0.0
2019.06.29 01:02:15.000,5.139,2.921,13.403,28.606,1.0,1.0
2019.06.29 01:02:16.000,5.017,2.979,14.643,28.608,1.0,2.0
2019.06.29 01:02:17.000,5.017,3.049,18.042,28.604,1.0,3.0
2019.06.29 01:02:18.000,5.017,3.177,27.811,28.606,1.0,4.0
2019.06.29 01:02:19.000,5.017,3.313,46.499,28.606,1.0,5.0
2019.06.29 01:02:20.000,5.148,3.716,64.272,28.606,1.0,6.0
2019.06.29 01:02:21.000,5.156,4.041,74.205,28.582,1.0,7.0
2019.06.29 01:02:22.000,5.156,4.052,75.125,28.491,1.0,8.0
2019.06.29 01:02:23.000,5.156,4.087,74.476,28.502,1.0,9.0
2019.06.29 01:02:24.000,5.408,4.141,75.284,28.502,1.0,10.0
2019.06.29 01:02:25.000,5.538,4.219,75.378,28.502,1.0,11.0
2019.06.29 01:02:26.000,5.712,4.464,75.916,28.502,1.0,12.0
2019.06.29 01:02:27.000,5.72,4.765,75.939,28.502,1.0,13.0
2019.06.29 01:02:28.000,5.72,4.782,74.532,28.502,1.0,14.0
2019.06.29 01:02:29.000,6.215,4.772,74.966,28.502,1.0,15.0
2019.06.29 01:02:30.000,6.224,4.772,75.013,28.502,1.0,16.0
2019.06.29 01:02:31.000,5.842,4.772,75.702,28.405,1.0,17.0
2019.06.29 01:02:32.000,5.842,4.772,75.793,28.285,1.0,18.0
2019.06.29 01:02:33.000,5.842,4.772,75.786,28.289,1.0,19.0
2019.06.29 01:02:34.000,5.842,4.772,75.619,28.289,1.0,20.0
2019.06.29 01:02:35.000,5.842,4.772,75.411,28.289,1.0,21.0
2019.06.29 01:02:36.000,5.226,4.772,75.462,28.289,1.0,22.0
2019.06.29 01:02:37.000,5.955,4.772,75.452,28.289,1.0,23.0
2019.06.29 01:02:38.000,5.964,4.772,75.44,28.289,1.0,24.0
2019.06.29 01:02:39.000,6.102,4.772,75.333,28.289,1.0,25.0
2019.06.29 01:02:40.000,6.102,4.772,75.281,28.289,1.0,26.0
2019.06.29 01:02:41.000,5.295,4.772,75.296,28.29,1.0,27.0
2019.06.29 01:02:42.000,5.703,4.772,75.403,28.289,1.0,28.0
2019.06.29 01:02:43.000,6.441,4.772,75.488,28.29,1.0,29.0
2019.06.29 01:02:44.000,6.476,5.12,77.558,28.366,1.0,30.0
2019.06.29 01:02:45.000,6.476,6.36,79.093,28.813,1.0,31.0
2019.06.29 01:02:46.000,5.712,8.274,79.678,29.278,1.0,32.0
2019.06.29 01:02:47.000,6.137,10.274,77.221,30.047,1.0,33.0
2019.06.29 01:02:48.000,6.363,12.054,75.594,30.831,1.0,34.0
2019.06.29 01:02:49.000,6.389,13.89,74.185,31.979,1.0,35.0
2019.06.29 01:02:50.000,6.884,16.229,74.585,33.71,1.0,36.0
2019.06.29 01:02:51.000,6.328,18.104,74.57,35.422,1.0,37.0
2019.06.29 01:02:52.000,6.328,19.942,74.453,37.486,1.0,38.0
2019.06.29 01:02:53.000,6.372,21.797,74.437,39.857,1.0,39.0
