Timestamp,WindSpeed,HoistPosition,TotalLoad,TrolleyPosition,CycleID,Point
2019.07.01 00:00:00.200,4.045,15.12,51.58,95.843,1.0,0.0
2019.07.01 00:00:01.200,4.062,15.114,51.915,95.535,1.0,1.0
2019.07.01 00:00:02.200,4.757,15.075,51.16,95.241,1.0,2.0
2019.07.01 00:00:03.200,4.757,15.188,51.667,95.045,1.0,3.0
2019.07.01 00:00:04.200,4.757,15.199,50.706,95.038,1.0,4.0
2019.07.01 00:00:05.200,4.757,15.158,50.489,95.046,1.0,5.0
2019.07.01 00:00:06.200,5.174,15.027,49.307,95.049,1.0,6.0
2019.07.01 00:00:07.200,5.2,14.832,50.205,95.05,1.0,7.0
2019.07.01 00:00:08.200,5.443,14.443,50.163,95.048,1.0,8.0
2019.07.01 00:00:09.200,5.538,13.844,49.658,95.081,1.0,9.0
2019.07.01 00:00:10.200,5.538,12.492,48.305,95.606,1.0,10.0
2019.07.01 00:00:11.200,5.2,10.328,46.914,96.461,1.0,11.0
2019.07.01 00:00:12.200,5.2,8.457,49.153,96.655,1.0,12.0
2019.07.01 00:00:13.200,5.2,6.905,51.673,96.603,1.0,13.0
2019.07.01 00:00:14.200,5.226,6.231,54.912,96.608,1.0,14.0
2019.07.01 00:00:15.200,5.226,5.833,45.874,96.606,1.0,15.0
2019.07.01 00:00:16.200,5.365,5.884,33.135,96.606,1.0,16.0
2019.07.01 00:01:03.800,5.651,3.287,22.258,28.39,2.0,0.0
2019.07.01 00:01:04.800,5.651,3.415,23.301,28.391,2.0,1.0
2019.07.01 00:01:05.800,5.295,3.653,32.967,28.42,2.0,2.0
2019.07.01 00:01:06.800,5.33,4.713,44.971,28.96,2.0,3.0
2019.07.01 00:01:07.800,5.33,6.561,54.892,30.152,2.0,4.0
2019.07.01 00:01:08.800,5.33,9.032,56.013,31.85,2.0,5.0
2019.07.01 00:01:09.800,5.391,11.587,54.337,33.651,2.0,6.0
2019.07.01 00:01:10.800,5.408,14.146,52.969,35.55,2.0,7.0
2019.07.01 00:01:11.800,5.408,16.773,52.028,37.285,2.0,8.0
2019.07.01 00:01:12.800,5.408,19.336,51.997,39.354,2.0,9.0
2019.07.01 00:01:13.800,5.408,21.902,51.988,42.253,2.0,10.0
2019.07.01 00:01:14.800,5.408,24.483,52.039,45.74,2.0,11.0
2019.07.01 00:01:15.800,4.844,26.208,51.9,48.349,2.0,12.0
2019.07.01 00:01:16.800,4.957,28.622,49.946,52.888,2.0,13.0
2019.07.01 00:01:17.800,4.957,29.516,48.609,55.901,2.0,14.0
2019.07.01 00:01:18.800,4.957,29.675,47.434,58.835,2.0,15.0
2019.07.01 00:01:19.800,5.174,29.098,47.745,61.508,2.0,16.0
2019.07.01 00:01:20.800,5.156,27.731,47.806,63.948,2.0,17.0
2019.07.01 00:01:21.800,5.156,25.675,47.766,66.05,2.0,18.0
2019.07.01 00:01:22.800,5.156,22.98,50.404,68.343,2.0,19.0
2019.07.01 00:01:23.800,5.156,21.577,51.587,69.397,2.0,20.0
2019.07.01 00:01:24.800,5.156,19.658,53.749,70.716,2.0,21.0
2019.07.01 00:01:25.800,4.74,17.997,53.909,71.534,2.0,22.0
2019.07.01 00:01:26.800,4.774,16.617,54.37,72.28,2.0,23.0
2019.07.01 00:01:27.800,4.774,15.62,54.549,72.717,2.0,24.0
2019.07.01 00:01:28.800,4.774,15.173,55.341,73.378,2.0,25.0
2019.07.01 00:01:29.800,4.774,15.027,55.36,74.327,2.0,26.0
2019.07.01 00:01:30.800,4.349,14.97,54.449,74.481,2.0,27.0
2019.07.01 00:01:31.800,4.349,14.494,52.673,74.114,2.0,28.0
2019.07.01 00:01:32.800,4.349,13.445,50.653,73.465,2.0,29.0
2019.07.01 00:01:33.800,4.349,11.553,49.432,73.399,2.0,30.0
2019.07.01 00:01:34.800,4.427,9.142,50.425,73.435,2.0,31.0
2019.07.01 00:01:35.800,4.314,7.446,53.67,73.422,2.0,32.0
2019.07.01 00:01:36.800,4.314,6.71,56.656,73.423,2.0,33.0
2019.07.01 00:01:37.800,4.314,6.186,56.338,73.424,2.0,34.0
2019.07.01 00:01:38.800,4.314,5.897,43.725,73.422,2.0,35.0
2019.07.01 00:02:17.600,5.703,3.164,21.522,35.732,3.0,0.0
2019.07.01 00:02:18.600,5.703,3.309,21.916,35.737,3.0,1.0
2019.07.01 00:02:19.600,5.703,3.611,34.714,35.819,3.0,2.0
2019.07.01 00:02:20.600,4.696,4.622,46.858,36.408,3.0,3.0
2019.07.01 00:02:21.600,4.696,6.477,57.184,37.448,3.0,4.0
2019.07.01 00:02:22.600,4.696,8.965,58.073,38.397,3.0,5.0
2019.07.01 00:02:23.600,4.696,10.612,57.175,39.062,3.0,6.0
2019.07.01 00:02:24.600,4.696,13.085,55.703,40.041,3.0,7.0
2019.07.01 00:02:25.600,4.644,15.573,54.43,40.817,3.0,8.0
2019.07.01 00:02:26.600,4.67,18.109,54.434,41.843,3.0,9.0
2019.07.01 00:02:27.600,4.67,20.598,54.339,43.573,3.0,10.0
2019.07.01 00:02:28.600,4.67,23.075,54.104,45.888,3.0,11.0
2019.07.01 00:02:29.600,4.67,25.587,54.044,48.783,3.0,12.0
2019.07.01 00:02:30.600,4.219,27.885,53.24,51.683,3.0,13.0
2019.07.01 00:02:31.600,4.358,29.404,52.001,53.941,3.0,14.0
2019.07.01 00:02:32.600,4.358,30.068,50.417,56.331,3.0,15.0
2019.07.01 00:02:33.600,4.384,30.051,51.346,58.44,3.0,16.0
2019.07.01 00:02:34.600,4.392,29.965,52.0,60.581,3.0,17.0
2019.07.01 00:02:35.600,4.618,29.199,51.645,62.695,3.0,18.0
2019.07.01 00:02:36.600,4.618,27.653,50.546,64.787,3.0,19.0
2019.07.01 00:02:37.600,4.618,25.642,50.809,66.621,3.0,20.0
2019.07.01 00:02:38.600,4.618,23.412,53.54,68.153,3.0,21.0
2019.07.01 00:02:39.600,4.618,21.733,55.458,68.996,3.0,22.0
2019.07.01 00:02:40.600,3.741,20.409,55.934,69.95,3.0,23.0
2019.07.01 00:02:41.600,3.741,19.161,56.373,70.72,3.0,24.0
2019.07.01 00:02:42.600,4.002,18.268,57.188,70.847,3.0,25.0
2019.07.01 00:02:43.600,4.601,18.0,57.663,70.777,3.0,26.0
2019.07.01 00:02:44.600,4.601,17.344,56.885,70.785,3.0,27.0
2019.07.01 00:02:45.600,4.288,16.713,55.623,71.082,3.0,28.0
2019.07.01 00:02:46.600,4.288,16.011,54.226,71.233,3.0,29.0
2019.07.01 00:02:47.600,4.288,15.771,56.928,71.146,3.0,30.0
2019.07.01 00:02:48.600,4.288,15.796,56.635,71.101,3.0,31.0
2019.07.01 00:02:49.600,4.288,15.797,56.615,70.984,3.0,32.0
2019.07.01 00:02:50.600,4.158,15.797,55.531,70.788,3.0,33.0
2019.07.01 00:02:51.600,4.167,15.731,55.535,70.734,3.0,34.0
2019.07.01 00:02:52.600,4.167,14.974,53.885,70.728,3.0,35.0
2019.07.01 00:02:53.600,4.167,13.504,52.23,70.832,3.0,36.0
2019.07.01 00:02:54.600,4.167,11.294,50.796,70.977,3.0,37.0
2019.07.01 00:02:55.600,3.958,9.065,53.805,70.93,3.0,38.0
2019.07.01 00:02:56.600,4.028,7.622,56.766,70.932,3.0,39.0
2019.07.01 00:02:57.600,4.062,6.82,60.32,70.934,3.0,40.0
2019.07.01 00:02:58.600,4.08,6.296,58.634,70.941,3.0,41.0
2019.07.01 00:02:59.600,4.08,5.887,50.325,70.935,3.0,42.0
2019.07.01 00:03:00.600,4.01,5.928,33.979,70.936,3.0,43.0
2019.07.01 00:03:37.000,4.479,3.007,18.684,41.294,4.0,0.0
2019.07.01 00:03:38.000,4.479,3.04,16.054,41.293,4.0,1.0
2019.07.01 00:03:39.000,4.479,3.19,19.034,41.293,4.0,2.0
2019.07.01 00:03:40.000,4.479,3.328,29.105,41.293,4.0,3.0
2019.07.01 00:03:41.000,4.028,3.502,40.58,41.293,4.0,4.0
2019.07.01 00:03:42.000,4.028,4.287,50.489,41.293,4.0,5.0
2019.07.01 00:03:43.000,4.028,5.917,53.232,41.292,4.0,6.0
2019.07.01 00:03:44.000,4.028,8.262,54.505,41.292,4.0,7.0
2019.07.01 00:03:45.000,4.028,10.89,53.142,41.352,4.0,8.0
2019.07.01 00:03:46.000,3.776,12.651,51.995,41.656,4.0,9.0
2019.07.01 00:03:47.000,3.967,15.249,50.778,42.214,4.0,10.0
2019.07.01 00:03:48.000,3.967,17.885,50.21,42.825,4.0,11.0
2019.07.01 00:03:49.000,3.967,21.111,49.951,44.541,4.0,12.0
2019.07.01 00:03:50.000,3.967,23.579,49.949,46.442,4.0,13.0
2019.07.01 00:03:51.000,3.854,26.076,49.802,48.429,4.0,14.0
2019.07.01 00:03:52.000,3.854,28.251,48.644,50.064,4.0,15.0
2019.07.01 00:03:53.000,4.132,29.651,47.517,51.815,4.0,16.0
2019.07.01 00:03:54.000,4.132,30.331,46.377,54.054,4.0,17.0
2019.07.01 00:03:55.000,4.132,30.128,45.933,56.816,4.0,18.0
2019.07.01 00:03:56.000,3.819,29.126,45.727,58.976,4.0,19.0
2019.07.01 00:03:57.000,3.854,27.69,45.791,60.674,4.0,20.0
2019.07.01 00:03:58.000,3.924,25.337,46.734,62.411,4.0,21.0
2019.07.01 00:03:59.000,3.95,23.196,48.965,63.973,4.0,22.0
2019.07.01 00:04:00.000,4.019,21.356,50.907,65.204,4.0,23.0
2019.07.01 00:04:01.000,3.993,19.7,51.958,66.237,4.0,24.0
2019.07.01 00:04:02.000,3.993,18.384,52.082,67.033,4.0,25.0
2019.07.01 00:04:03.000,3.993,17.378,52.089,67.498,4.0,26.0
2019.07.01 00:04:04.000,4.262,16.415,52.578,67.364,4.0,27.0
2019.07.01 00:04:05.000,4.262,15.928,53.103,67.492,4.0,28.0
2019.07.01 00:04:06.000,4.158,15.716,52.916,68.229,4.0,29.0
2019.07.01 00:04:07.000,4.583,15.315,51.259,68.803,4.0,30.0
2019.07.01 00:04:08.000,4.583,15.196,50.041,69.01,4.0,31.0
2019.07.01 00:04:09.000,4.583,14.709,50.029,68.947,4.0,32.0
2019.07.01 00:04:10.000,4.583,14.318,51.696,68.828,4.0,33.0
2019.07.01 00:04:11.000,4.34,13.552,49.814,68.576,4.0,34.0
