Timestamp,HoistPosition,TotalLoad,TrolleyPosition,WindSpeed,CycleID,Point
2022.08.22 08:29:13.400,32.47,15.537,105.834,4.887,1.0,0.0
2022.08.22 08:29:14.939,32.55,17.016,105.834,4.887,1.0,1.0
2022.08.22 08:29:16.681,32.652,22.58,105.834,4.688,1.0,2.0
2022.08.22 08:29:18.420,33.434,23.755,105.834,4.688,1.0,3.0
2022.08.22 08:29:20.159,34.465,23.287,105.94,3.594,1.0,4.0
2022.08.22 08:29:21.920,35.643,23.855,105.648,3.594,1.0,5.0
2022.08.22 08:29:23.460,37.999,25.01,104.131,3.594,1.0,6.0
2022.08.22 08:29:24.661,40.858,24.4,101.995,3.793,1.0,7.0
2022.08.22 08:29:25.880,42.728,21.053,99.035,3.811,1.0,8.0
2022.08.22 08:29:27.139,43.365,21.417,95.02,3.993,1.0,9.0
2022.08.22 08:29:28.320,43.328,23.236,90.366,4.193,1.0,10.0
2022.08.22 08:29:29.539,43.328,23.363,85.329,4.462,1.0,11.0
2022.08.22 08:29:30.740,43.328,23.28,80.478,3.941,1.0,12.0
2022.08.22 08:29:31.961,43.328,23.111,75.478,3.993,1.0,13.0
2022.08.22 08:29:33.381,43.328,23.0,69.674,3.993,1.0,14.0
2022.08.22 08:29:35.140,42.537,22.202,62.92,3.958,1.0,15.0
2022.08.22 08:29:36.879,41.737,22.939,57.194,4.253,1.0,16.0
2022.08.22 08:29:38.580,39.71,21.15,52.099,4.332,1.0,17.0
2022.08.22 08:29:40.300,35.731,21.344,49.005,4.358,1.0,18.0
2022.08.22 08:29:41.940,31.087,22.971,47.477,4.722,1.0,19.0
2022.08.22 08:29:43.159,27.644,23.127,46.914,4.722,1.0,20.0
2022.08.22 08:29:44.361,24.717,24.45,46.528,4.722,1.0,21.0
2022.08.22 08:29:45.599,22.976,25.05,46.591,4.288,1.0,22.0
2022.08.22 08:29:46.799,21.572,23.901,46.665,4.297,1.0,23.0
2022.08.22 08:29:48.000,20.728,24.081,47.15,4.297,1.0,24.0
2022.08.22 08:29:49.201,18.974,21.343,47.946,4.349,1.0,25.0
2022.08.22 08:29:50.440,16.655,23.523,48.123,4.444,1.0,26.0
2022.08.22 08:29:51.979,15.447,25.213,48.436,4.444,1.0,27.0
2022.08.22 08:29:53.679,14.445,23.127,48.52,4.444,1.0,28.0
2022.08.22 08:29:55.420,13.49,23.236,48.88,4.01,1.0,29.0
2022.08.22 08:29:57.139,12.182,23.33,49.191,4.062,1.0,30.0
2022.08.22 08:29:58.840,10.98,22.486,49.459,4.08,1.0,31.0
2022.08.22 08:30:00.240,8.659,21.989,49.198,3.915,1.0,32.0
2022.08.22 08:30:01.480,7.119,25.44,49.31,4.306,1.0,33.0
2022.08.22 08:30:02.701,6.723,24.822,49.465,4.462,1.0,34.0
2022.08.22 08:30:03.921,6.434,23.426,49.534,4.462,1.0,35.0
2022.08.22 08:30:05.120,6.191,23.732,49.599,4.384,1.0,36.0
2022.08.22 08:30:06.320,5.989,23.785,49.603,4.401,1.0,37.0
2022.08.22 08:30:07.540,5.828,23.781,49.585,4.401,1.0,38.0
2022.08.22 08:30:08.781,5.683,23.792,49.585,4.401,1.0,39.0
2022.08.22 08:30:10.120,5.559,23.74,49.585,3.698,1.0,40.0
2022.08.22 08:30:11.820,5.231,23.514,49.585,3.793,1.0,41.0
2022.08.22 08:30:13.521,4.875,23.753,49.585,4.28,1.0,42.0
2022.08.22 08:30:15.279,4.585,19.25,49.585,4.349,1.0,43.0
2022.08.22 08:31:04.540,32.493,15.795,103.343,4.375,2.0,0.0
2022.08.22 08:31:05.740,32.519,15.952,103.341,4.375,2.0,1.0
2022.08.22 08:31:07.259,32.598,19.424,103.533,4.401,2.0,2.0
2022.08.22 08:31:08.999,32.813,23.946,103.662,4.705,2.0,3.0
2022.08.22 08:31:10.739,34.696,25.299,103.508,4.748,2.0,4.0
2022.08.22 08:31:12.500,38.521,25.389,101.996,4.818,2.0,5.0
2022.08.22 08:31:14.240,41.378,21.546,98.791,4.818,2.0,6.0
2022.08.22 08:31:15.880,41.766,22.295,94.253,4.766,2.0,7.0
2022.08.22 08:31:17.079,41.763,24.262,89.765,4.835,2.0,8.0
2022.08.22 08:31:18.320,41.763,23.815,84.653,4.835,2.0,9.0
2022.08.22 08:31:19.520,41.763,23.518,79.611,4.835,2.0,10.0
2022.08.22 08:31:20.740,41.763,23.362,74.652,3.993,2.0,11.0
2022.08.22 08:31:21.961,41.54,22.331,69.729,3.993,2.0,12.0
2022.08.22 08:31:23.220,40.456,22.744,64.735,3.993,2.0,13.0
2022.08.22 08:31:24.439,39.734,23.943,60.253,3.993,2.0,14.0
2022.08.22 08:31:25.859,37.768,21.513,56.356,4.036,2.0,15.0
2022.08.22 08:31:27.579,35.409,25.277,52.121,4.036,2.0,16.0
2022.08.22 08:31:29.280,34.542,23.053,50.105,4.036,2.0,17.0
2022.08.22 08:31:30.999,33.708,24.112,49.96,3.689,2.0,18.0
2022.08.22 08:31:32.739,33.74,22.96,50.097,3.689,2.0,19.0
2022.08.22 08:31:34.460,33.74,22.768,51.478,3.837,2.0,20.0
